date,population,residential,GDP
1960-01-01,180671000,0.201,543.3
1961-01-01,183691000,0.214,563.3
1962-01-01,186538000,0.233,605.1
1963-01-01,189242000,0.251,638.6
1964-01-01,191889000,0.272,685.8
1965-01-01,194303000,0.291,743.7
1966-01-01,196560000,0.317,815
1967-01-01,198712000,0.34,861.7
1968-01-01,200706000,0.382,942.5
1969-01-01,202677000,0.427,1019.9
1970-01-01,205052000,0.466,1073.303
1971-01-01,207661000,0.5,1164.85
1972-01-01,209896000,0.539,1279.11
1973-01-01,211909000,0.579,1425.376
1974-01-01,213854000,0.578,1545.243
1975-01-01,215973000,0.588,1684.904
1976-01-01,218035000,0.606,1873.412
1977-01-01,220239000,0.645,2081.826
1978-01-01,222585000,0.674,2351.599
1979-01-01,225055000,0.683,2627.333
1980-01-01,227225000,0.717,2857.307
1981-01-01,229466000,0.722,3207.041
1982-01-01,231664000,0.73,3343.789
1983-01-01,233792000,0.751,3634.038
1984-01-01,235825000,0.78,4037.613
1985-01-01,237924000,0.794,4338.979
1986-01-01,240133000,0.819,4579.631
1987-01-01,242289000,0.85,4855.215
1988-01-01,244499000,0.893,5236.438
1989-01-01,246819000,0.906,5641.58
1990-01-01,249623000,0.924,5963.144
1991-01-01,252981000,0.955,6158.129
1992-01-01,256514000,0.936,6520.327
1993-01-01,259919000,0.995,6858.559
1994-01-01,263126000,1.008,7287.236
1995-01-01,266278000,1.043,7639.749
1996-01-01,269394000,1.083,8073.122
1997-01-01,272657000,1.076,8577.554457
1998-01-01,275854000,1.13,9062.818202
1999-01-01,279040000,1.145,9631.174489
2000-01-01,282162411,1.192,10250.948
2001-01-01,284968955,1.202,10581.92977
2002-01-01,287625193,1.265,10929.11296
2003-01-01,290107933,1.276,11456.44204
2004-01-01,292805298,1.292,12217.1932
2005-01-01,295516599,1.359,13039.19919
2006-01-01,298379912,1.352,13815.58695
2007-01-01,301231207,1.392,14474.22691
2008-01-01,304093966,1.381,14769.85791
2009-01-01,306771529,1.365,14478.06493
2010-01-01,309327143,1.446,15048.96444
2011-01-01,311583481,1.423,15599.72812
2012-01-01,313877662,1.375,16253.97223
2013-01-01,316059947,1.395,16843.19099
2014-01-01,318386329,1.407,17550.68017
2015-01-01,320738994,1.404,18206.02074
2016-01-01,323071755,1.411,18695.11084
2017-01-01,325122128,1.379,19479.62006
2018-01-01,326838199,1.469,20527.15603
2019-01-01,328329953,1.44,21372.57244
2020-01-01,331501080,1.465,20893.74383
2021-01-01,331893745,1.477,22996.1